Grid_ID,Latitude,Longitude,avg_speed,avg_dir
GR3_F4I24_F,33.675,124.775,0.0,0.0
GR3_F4I24_J,33.675,124.975,0.0,0.0
GR3_F4J31_W,33.275,125.125,0.0,0.0
GR3_F4J34_G,33.175,125.325,0.0,0.0
GR3_F4J41_U,33.275,125.525,0.0,0.0
GR3_F4J43_C,33.225,125.625,0.0,0.0
GR3_F4J43_Q,33.075,125.575,32.09714611872146,206.16986301369863
GR3_F4K12_X,33.775,126.425,0.0,0.0
GR3_F4K12_Y,33.775,126.475,0.0,0.0
GR3_F4K14_N,33.625,126.425,0.0,0.0
GR3_F4K22_E,33.975,126.975,0.0,0.0
GR3_F4N14_L,32.625,125.325,0.0,0.0
GR3_F4N32_R,32.325,125.375,0.0,0.0
GR3_F4N32_U,32.275,125.275,0.0,0.0
GR3_F4N33_S,32.075,125.175,0.0,0.0
GR3_F4O24_Y,32.525,126.975,0.0,0.0
GR3_F4P13_H,32.675,127.125,0.0,0.0
